"id_number","id_label","hatchery","run","region","group","lon","lat","fishery","year","sex","age","length","source"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,760,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,790,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,820,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,870,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,760,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,800,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,790,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,820,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,820,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,960,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,810,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,820,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,820,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,940,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,870,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,800,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,830,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,840,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,800,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,710,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,800,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,840,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,870,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,840,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,810,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,830,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,900,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,770,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,810,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,890,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,860,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",4,870,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",3,670,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2002,"Female",3,610,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,860,"cwt"
